Line	Token type	Token specifier
1	1		PROGRAM
1	22		STARTS
2	2		VAR
3	22		SUM
3	14		,
3	22		SUMQ
3	14		,
3	22		I
3	14		,
3	22		VALUE
3	14		,
3	22		MEAN
3	14		,
3	22		VARIANCE
3	13		:
3	6		INTEGER
4	3		BEGIN
5	22		SUM
5	15		:=
5	23		#0
5	12		;
6	22		SUMSQ
6	15		:=
6	23		#0
6	12		;
7	7		FOR
7	22		I
7	15		:=
7	23		#1
7	10		TO
7	23		#100
7	11		DO
8	3		BEGIN
9	8		READ
9	20		(
9	22		VALUE
9	21		)
9	12		;
10	22		SUM
10	15		:=
10	22		SUM
10	16		+
10	22		VALUE
11	22		SUMSQ
11	15		:=
11	22		SUMSQ
11	16		+
11	22		VALUE
11	18		*
11	22		VALUE
12	4		END
12	12		;
13	22		MEAN
13	15		:=
13	22		SUM
13	19		/
13	23		#100
13	12		;
14	22		VARIANCE
14	15		:=
14	22		SUMSQ
14	19		/
14	23		#100
14	17		-
14	22		MEAN
14	18		*
14	22		MEAN
14	12		;
15	9		WRITE
15	20		(
15	22		MEAN
15	14		,
15	22		VARIANCE
15	21		)
16	5		END.
